523 8988
OR 2 1
XOR 2 1
OR 1 2
AND 2 1
SET 2 139
XOR 1 2
AND 1 2
OR 2 1
SET 2 223
OR 1 2
OR 2 1
FLIP 1 244
OR 2 1
OR 1 2
SET 1 260
OR 2 1
FLIP 2 515
XOR 2 1
SET 1 147
SET 1 287
AND 1 2
FLIP 1 469
XOR 1 2
XOR 2 1
SET 2 213
AND 1 2
SET 2 281
SET 1 295
FLIP 2 371
XOR 1 2
XOR 2 1
SET 2 13
FLIP 1 32
SET 1 357
XOR 1 2
FLIP 1 305
XOR 1 2
SET 1 121
AND 2 1
XOR 2 1
OR 2 1
XOR 2 1
XOR 2 1
XOR 1 2
FLIP 1 509
FLIP 2 363
SET 2 375
SET 2 240
OR 1 2
FLIP 2 27
OR 1 2
AND 1 2
SET 1 151
AND 2 1
FLIP 2 139
OR 1 2
OR 2 1
XOR 1 2
SET 1 208
XOR 1 2
OR 1 2
OR 2 1
OR 2 1
SET 1 228
OR 1 2
FLIP 2 513
SET 2 7
OR 2 1
FLIP 1 436
AND 2 1
OR 1 2
FLIP 2 37
FLIP 2 303
AND 1 2
FLIP 1 394
SET 1 9
XOR 1 2
AND 2 1
FLIP 2 426
OR 1 2
XOR 1 2
AND 1 2
SET 1 473
XOR 1 2
XOR 1 2
FLIP 1 80
AND 1 2
FLIP 1 170
OR 2 1
AND 2 1
SET 2 232
SET 1 221
SET 2 249
XOR 1 2
OR 1 2
SET 2 31
AND 2 1
AND 1 2
AND 1 2
SET 1 207
XOR 1 2
FLIP 1 171
OR 1 2
SET 2 176
AND 1 2
XOR 1 2
XOR 2 1
SET 2 187
SET 2 405
XOR 1 2
OR 2 1
SET 1 70
XOR 2 1
SET 1 487
AND 1 2
OR 1 2
FLIP 1 310
FLIP 2 380
AND 2 1
FLIP 2 85
OR 1 2
OR 2 1
SET 2 136
XOR 2 1
XOR 2 1
FLIP 1 445
SET 1 486
FLIP 2 497
OR 2 1
SET 1 457
FLIP 2 233
OR 1 2
FLIP 2 486
AND 1 2
SET 1 263
FLIP 1 28
OR 2 1
SET 1 292
OR 1 2
OR 1 2
OR 2 1
OR 1 2
AND 2 1
XOR 1 2
FLIP 1 287
OR 2 1
SET 1 490
AND 1 2
XOR 1 2
AND 1 2
SET 2 481
FLIP 2 414
SET 2 176
OR 1 2
OR 2 1
XOR 1 2
FLIP 2 180
SET 2 354
OR 2 1
SET 2 163
XOR 2 1
AND 2 1
FLIP 2 245
XOR 1 2
SET 2 112
XOR 2 1
AND 2 1
SET 1 279
AND 2 1
AND 2 1
AND 1 2
OR 2 1
FLIP 1 140
OR 2 1
FLIP 2 202
FLIP 1 348
AND 1 2
AND 2 1
SET 2 425
SET 2 164
